"Species","code","family","group","nat.inv","morph.mass.mg","chem.mass.mg","set.time.mpsec","height.cm","shape.m","size.mm.m","area.mm2.m","shape.c","size.mm.c","area.mm2.c","appendage type","smooth.coarse","appendage","prop.C","prop.N","cn","ldd","disp","ldd2","wing.loading.c","wing.loading.m","coat.perm.perc","E.S","coat.thick","fruit.thick","both.thick","mucilage","fleshy.end","starchy.end"
"Caulanthus lasiophyllus","CAULAS","Brassicaceae","forb","native",1.74355,1.74355,161.457400436401,60,0.044902886237839,1.16990471,2.3856014,0.044902886237839,1.16990471,2.3856014,"no appendage",0,"none",0.53607391699485,0.0478521660102999,11.2027095467207,1,"unassisted","unassisted",0.730863923872613,0.730863923872613,74.9627917884766,1,0.0328,NA,NA,1,NA,NA
"Centaurea melitensis","CENMEL","Asteraceae","forb","invasive",14.81,13.9167,195.842129906568,57.7619047666667,0.0541682510485334,5.9957614,28.2085384,0.0742543901534796,2.8671528,10.605204,"elongated appendage",0,"pappus",0.538514588859416,0.0310132625994695,17.3640095791995,4,"adhesive","adhesive",1.31225198496889,0.525018339837132,37.4500695891558,1,0.0348,0.0242,0.059,0,1,NA
"Centaurea solstitialis","CENSOL","Asteraceae","forb","invasive",16.34,17.3176,220.843176957516,73.375,0.0846531768401713,4.6197939,18.1088119,0.082914447838348,3.06435255,11.2461822,"elongated appendage",0,"pappus",0.479679370185762,0.0173267763091495,29.0333243026585,4,"adhesive","adhesive",1.53986479073761,0.902323139156357,40.3510409129778,1,NA,0.0396,NA,0,1,0
"Chaenactis artemisiifolia","CHAART","Asteraceae","forb","native",5.6113,5.6113,163.719312325535,57.5,0.132337330577587,4.6973444,12.7842156,0.132337330577587,4.6973444,12.7842156,"no appendage",1,"none",0.551032591158438,0.0291932881574701,18.8753177849011,1,"unassisted","unassisted",0.438924074465703,0.438924074465703,78.3180679775854,1,NA,0.0532,NA,0,NA,NA
"Chaenactis carphoclinia","CHACAR","Asteraceae","forb","native",2.918,2.918,127.135202411759,60.96,0.145573890232159,4.1611383,7.0138412,0.145573890232159,4.1611383,7.0138412,"elongated appendage",1,"pappus",0.48419835234474,0.0343187579214195,14.1088542147539,1,"unassisted","unassisted",0.416034511873465,0.416034511873465,89.1641521514009,1,NA,0.0282,NA,0,NA,NA
"Chaenactis fremontii","CHAFRE","Asteraceae","forb","native",6.9741,4.16115,147.147390781657,20,0.180275123368676,5.8007772,8.889644,0.180275123368676,5.8007772,8.889644,"elongated appendage",1,"pappus",0.515071366152054,0.0334867462860472,15.3813500347947,2,"ant","ant",0.468089610787564,0.78451960505955,70.9634315069268,1,NA,0.045,NA,0,NA,NA
"Chaenactis glabriuscula","CHAGLA","Asteraceae","forb","native",6.0824,6.0824,188.277841360505,13.8875,0.0934089113626403,9.5896732,37.07933,0.165846190638341,5.03171859090909,9.30546803636364,"flat appendage",1,"pappus",0.501040446349567,0.0304525173184074,16.5094984938448,1,"unassisted","unassisted",0.653637192264953,0.164037483956695,118.109070076348,1,NA,0.0194,NA,0,NA,NA
"Chaenactis stevioides","CHASTE","Asteraceae","forb","native",5.5125,3.9764,127.532440871591,17.5,0.0748647003433501,8.3754534,25.754598,0.169049198040674,5.1316277,8.348428,"elongated appendage",1,"pappus",0.495271721444842,0.0320859095346567,15.4358012170385,1,"unassisted","unassisted",0.476305239740943,0.214039450353681,87.2677906955818,1,NA,0.0512,NA,0,NA,NA
"Chenopodium album","CHEALB","Chenopodiaceae","forb","native",3.9361,3.9361,229.149074672444,55.3474531,0.0273342700151562,1.19870913,3.37809652,0.0273342700151562,1.19870913,3.37809652,"no appendage",1,"none",0.444805458768873,0.027938443670151,15.9209104136354,4,"adhesive","adhesive",1.16518281129516,1.16518281129516,30.2154285466974,2.36897770467574,0.0186,0.0104,0.029,0,0,1
"Chenopodium arizonicum","CHEARI","Chenopodiaceae","forb","native",3.2471,3.2471,200.920223816212,45,0.0449638783849015,1.14774725,3.0297217,0.0449638783849015,1.14774725,3.0297217,"no appendage",1,"none",0.44595036814835,0.0252249795473139,17.6789189189189,4,"bird","ingestion",1.07174860318029,1.07174860318029,18.4823635030159,2.50349543376215,0.0226,0.0124,0.035,0,0,1
