Species,code,ldd2,wing.loading,coat.perm,E.S,coat.thick,mass.mg,set.time.mpsec,height.cm,shape,size,appendage type,smooth.coarse,appendage,prop.C,prop.N,cn,ldd,disp
Chaenactis artemisiifolia,CHAART,unassisted,0.4389240745,78.31806798,1,0.0532,5.6113,163.7193123,57.5,0.132337331,4.6973444,no appendage,1,none,0.5510325912,0.02919328816,18.87531778,1,unassisted
Chaenactis carphoclinia,CHACAR,unassisted,0.4160345119,89.16415215,1,0.0282,2.918,127.1352024,60.96,0.14557389,4.1611383,elongated appendage,1,pappus,0.4841983523,0.03431875792,14.10885421,1,unassisted
Chaenactis fremontii,CHAFRE,ant,0.7845196051,70.96343151,1,0.045,6.9741,147.1473908,20,0.180275123,5.8007772,elongated appendage,1,pappus,0.5150713662,0.03348674629,15.38135003,2,ant
Chaenactis glabriuscula,CHAGLA,unassisted,0.6536371923,118.1090701,1,0.0194,6.0824,188.2778414,13.8875,0.165846191,5.031718591,flat appendage,1,pappus,0.5010404463,0.03045251732,16.50949849,1,unassisted
Chaenactis stevioides,CHASTE,unassisted,0.6603039518,87.2677907,1,0.0512,5.5125,127.5324409,17.5,0.169049198,5.1316277,elongated appendage,1,pappus,0.4952717214,0.03208590953,15.43580122,1,unassisted
Chenopodium album,CHEALB,adhesive,1.165182811,30.21542855,NA,NA,3.9361,229.1490747,55.3474531,0.02733427,1.19870913,no appendage,1,none,0.4448054588,0.02793844367,15.92091041,4,adhesive
Chenopodium arizonicum,CHEARI,ingestion,1.071748603,18.4823635,NA,NA,3.2471,200.9202238,45,0.044963878,1.14774725,no appendage,1,none,0.4459503681,0.02522497955,17.67891892,4,bird
Chenopodium berlandieri,CHEBER,ingestion,1.946257275,19.72331902,NA,NA,10.3745,247.5139016,150,0.031468776,1.52663695,no appendage,1,none,0.4583517417,0.02686207873,17.06315235,4,large mammal (internal)
Chenopodium berlandieri var. sinuatum,CHEBERS,ingestion,1.614759458,17.79211297,NA,NA,7.2604,256.0278893,35.48,0.030061864,1.4158506,no appendage,1,none,0.4733718635,0.02113617141,22.39629185,4,bird
Chenopodium berlandieri var. zschackei,CHEBERZ,ingestion,2.110618133,14.38029432,NA,NA,12.79,217.6442402,35.485,0.03707948,1.6152662,no appendage,1,none,0.4444234354,0.02450066578,18.13923913,4,bird
Chenopodium hians,CHEHIA,ingestion,1.182605268,20.77806188,NA,NA,3.4766,223.8602527,55,0.049922919,1.1898462,no appendage,0,none,0.4549171936,0.03436615477,13.2373609,4,bird
Chenopodium incanum var. elatum,CHEINCE,ingestion,1.208999451,13.58253358,NA,NA,4.9621,239.2249189,50,0.027779008,1.3383003,no appendage,1,none,0.4514457029,0.02386409061,18.9173646,4,bird
Chenopodium incanum var. occidentale,CHEINCO,ingestion,1.490527514,25.55913082,NA,NA,5.346,225.2068068,34,0.015349819,1.2208664,no appendage,0,none,0.4435136597,0.02963213416,14.96732086,4,bird
Chenopodium murale,CHEMUR,adhesive,1.24152226,20.16769509,NA,NA,5.7997,221.9424156,48.59375,0.024214435,1.3936932,no appendage,1,none,0.5153932584,0.03596369922,14.33093006,4,adhesive
Chenopodium neomexicanum,CHENEO,ingestion,1.554107025,21.55739859,NA,NA,6.9883,230.6872035,37.5,0.034266511,1.4269291,no appendage,1,none,0.5581845537,0.03130140421,17.8325723,4,bird
Chenopodium watsonii,CHEWAT,ingestion,1.284498783,14.00132744,NA,NA,4.3548,218.793264,27.5,0.000800003,1.1078643,no appendage,0,none,0.5473312789,0.03540832049,15.45770235,4,bird
Chorizanthe brevicornu,CHOBRE,adhesive,2.054158854,87.22682923,0.9545109452,0.0326,13.32,207.317068,15,0.136046402,3.3812016,elongated appendage,1,hooks,0.6493372744,0.03324517735,19.53177351,4,adhesive
Chorizanthe brevicornu var. brevicornu,NA,adhesive,1.156521077,84.16789201,0.9644942925,0.0296,24.94,233.2760165,17.5,0.104389351,5.7608942,elongated appendage,1,hooks,NA,NA,NA,4,adhesive
Chorizanthe fimbriata,CHOFIM,unassisted,0.6589033683,126.1284661,0.9052404397,0.0146,14.3022,157.5949601,11.43,0.04827659,5.6855595,elongated appendage,1,hooks,0.4577814661,0.0244813278,18.69920904,4,unassisted
Chorizanthe staticoides,CHOSTA,unassisted,1.232703819,132.5151189,0.9625051504,0.0274,7.9827,181.785432,32.5,0.11921404,2.9646447,elongated appendage,1,hooks,0.4803777972,0.0256873002,18.70098427,4,unassisted
Chylismia brevipes,CHYBRE,unassisted,0.8522680322,123.3902453,1,0.007,5.817,187.9483798,39,0.029286672,1.9897242,no appendage,0,none,0.5062086957,0.02644347826,19.14304505,1,unassisted
Chylismia cardiophylla,CHYCAR,unassisted,0.5282297343,172.498802,1,0.0058,0.3307,110.1765597,100,0.029714615,0.59381527,no appendage,0,none,0.5408943996,0.03252159376,16.63185401,1,unassisted
Chylismia claviformis,CHYCLA,unassisted,0.7571369599,94.04519958,1,0.116,0.8481,129.8410911,36.5,0.027222219,0.79766228,no appendage,0,none,0.5167904074,0.04501642576,11.48004087,1,unassisted
