in.hand,Cleaned,use?,dispersule,seeds.per.disp,morphological unit,chemical unit,Species,species.alt,code,accept.code,family,group,nat.inv,year,germ.perc,dorm.perc,seed.mass.1000,tot.wgt.g,n.seeds,lat,long,ele.m,Location.Notes,orig.acc,site,ID,type,seedling.traits.ashley,mega.comp,microbe.rob,notes,
y,y,both,,1,seed,seed,Plantago patagonica,,PLAPAT,PLPA2,Plantaginaceae,forb,native,2015,,,,0.32,,32.22343277,-111.0102093,725,collection location estimate (tumamoc hill),,SD,SD-20,wild,,,,,
y,y,both,,1,nutlet,nutlet,Platystemon californicus,,PLACAL,PLCA5,Papaveraceae,forb,native,2003,2,,,0.212511783,600,33.63663,-117.04461,564,,21074,CBG,CBG-21074,wild,,,,,
y,y,both,y,1,floret,caryopsis,Poa secunda,,POASEC,POSE,Poaceae,grass,native,2019,,,,0.0971,,,,,,,CP,CP-20,wild,,,,THIS IS PERENNIAL BUT WE ARE DOING IT FOR LORALEE,
y,y,both,y,1,floret,caryopsis,Polypogon monspeliensis,,POLMON,POMO5,Poaceae,grass,invasive,2021,,,,0.21,,33.99762703,-116.6056899,613,Mission creek,,MD,MD-1,wild,,,,,
y,y,both,,1,achene,achene,Pterostegia drymarioides,,PTEDRY,PTDR,Polygonaceae,forb,native,2003,52,,,0.15361,564.6,33.86263,-117.00988,585,,21067,CBG,CBG-21067,wild,,,,,
y,y,both,,1,achene + pappus,achene + pappus,Rafinesquia californica,,RAFCAL,RACA,Asteraceae,forb,native,2017,47.8,,,0.300091424,230,34.02532,-116.61025,893,,24959,CBG,CBG-24959,wild,,,,,
y,y,both,,1,achene + pappus,achene + pappus,Rigiopappus leptocladus,,RIGLEP,RILE2,Asteraceae,forb,native,2021,,,,0.19,,38.87135834,-122.4275268,659,,,MCL-ML,MCL-ML-23,wild,,,,,
,,,,,,,Rigiopappus leptocladus,,RIGLEP,RILE2,Asteraceae,forb,native,2019,,,,,,38.87154,-122.42751,,,,MCL-EE,MCL-EE-46,wild,,,,have another acc,
y,y,both,,1,nutlet,nutlet,Salvia carduacea,,SALCAR,SACA8,Lamiaceae,forb,native,2019,93,,,0.86,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-41,wild,,,,,
y,y,,,,,,Salvia columbariae,,SALCOL,SACO6,Lamiaceae,forb,native,1998,51.5,,,0.528004584,600,33.96911,-116.65219,549,,19939,CBG,CBG-19939,wild,,,,,
y,y,both,,1,nutlet,nutlet,Salvia columbariae,,SALCOL,SACO6,Lamiaceae,forb,native,2015,,,,0.37,,33.239771,-116.390937,213,,,DW,DW-19,wild,,,,,
y,y,,,,,,Salvia columbariae,,SALCOL,SACO6,Lamiaceae,forb,native,2020,82,,,,,NA,NA,NA,"collected from various locations in Riverside, San Diego, and Orange Counties",,SS,SS-42,wild,,,x,,
